"Art (Niveau 1)","Slægt (Niveau 2)","Tribus (Niveau 3)","Underfamilie (Niveau 4)","Familie (Niveau 5)","Overfamilie (Niveau 6)","Orden (Niveau 7)",Referencetekst,Den_danske_roedliste,Dansk,Autor,Dansk_navn,Familie_dk,Synonymer
"Amarochara umbrosa",Amarochara,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Erichson, 1837)",,Rovbiller,
"Amauronyx maerkelii",Amauronyx,Goniacerini,Pselaphinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Aubé, 1844)",,Rovbiller,
"Amidobia talpa",Amidobia,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Heer, 1841)",,Rovbiller,
"Amischa analis",Amischa,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Amischa bifoveolata",Amischa,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Mannerheim, 1830)",,Rovbiller,cavifrons
"Amischa decipiens",Amischa,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Sharp, 1869)",,Rovbiller,
"Amischa nigrofusca",Amischa,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Stephens, 1832)",,Rovbiller,arata
"Ampedus balteatus",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Tvefarvet skovsmælder",Smeldere,
"Ampedus cardinalis",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Schiødte, 1865)",,Smeldere,
"Ampedus cinnabarinus",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Eschscholtz, 1829)","Rød skovsmælder",Smeldere,
"Ampedus elegantulus",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",RE,Ja,"(Schönherr, 1817)","Smuk skovsmælder",Smeldere,
"Ampedus erythrogonus",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NT,Ja,"(Müller, 1821)","Liden skovsmælder",Smeldere,
"Ampedus hjorti",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Rye, 1905)",,Smeldere,
"Ampedus nigerrimus",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",EN,Ja,"(Lacordaire, 1835)","Mørk skovsmælder",Smeldere,
"Ampedus nigrinus",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Herbst, 1784)","Sort skovsmælder",Smeldere,
"Ampedus nigroflavus",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Goeze, 1777)","Gul skovsmælder",Smeldere,
"Ampedus pomonae",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Stephens, 1830)",,Smeldere,
"Ampedus pomorum",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Herbst, 1784)",,Smeldere,ferrugatus
"Ampedus praeustus",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",CR,Ja,"(Fabricius, 1792)",,Smeldere,
"Ampedus quercicola",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Buysson, 1887)",,Smeldere,
"Ampedus rufipennis",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Stephens, 1830)",,Smeldere,
"Ampedus sanguineus",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Linnaeus, 1758)","Stor skovsmælder",Smeldere,
"Ampedus sanguinolentus",Ampedus,Ampedini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Schrank, 1776)","Sømplettet skovsmælder",Smeldere,
"Amphicyllis globiformis",Amphicyllis,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Sahlberg, 1833)",,,
"Amphicyllis globus",Amphicyllis,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1792)",,,
"Amphimallon ochraceum",Amphimallon,Rhizotrogini,Melolonthinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Knoch, 1801)",Hedeoldenborre,Torbister,fallenii
"Amphimallon solstitiale",Amphimallon,Rhizotrogini,Melolonthinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)",Sankthansoldenborre,Torbister,
"Amphotis marginata",Amphotis,Nitidulini,Nitidulinae,Nitidulidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1781)",Myrekøllebille,Glansbiller,
"Anacaena globulus",Anacaena,Anacaenini,Hydrophilinae,Hydrophilidae,Hydrophiloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Paykull, 1798)",,Vandkærer,
"Anacaena limbata",Anacaena,Anacaenini,Hydrophilinae,Hydrophilidae,Hydrophiloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1792)",,Vandkærer,
"Anacaena lutescens",Anacaena,Anacaenini,Hydrophilinae,Hydrophilidae,Hydrophiloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Stephens, 1829)",,Vandkærer,
"Anaglyptus mysticus",Anaglyptus,Clytini,Cerambycinae,Cerambycidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)",Hvidtjørnshvepsebuk,Træbukke,
"Anaspis bohemica",Anaspis,Anaspidini,Anaspidinae,Scraptiidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Schilsky, 1899",,Spidshaler,
"Anaspis costai",Anaspis,Anaspidini,Anaspidinae,Scraptiidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NT,Ja,"Emery, 1876",,Spidshaler,
"Anaspis fasciata",Anaspis,Anaspidini,Anaspidinae,Scraptiidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Forster, 1771)","Gulplettet spidshale",Spidshaler,humeralis
"Anaspis flava",Anaspis,Anaspidini,Anaspidinae,Scraptiidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Gul spidshale",Spidshaler,
"Anaspis frontalis",Anaspis,Anaspidini,Anaspidinae,Scraptiidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Stor spidshale",Spidshaler,
"Anaspis garneysi",Anaspis,Anaspidini,Anaspidinae,Scraptiidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Fowler, 1889",,Spidshaler,
"Anaspis maculata",Anaspis,Anaspidini,Anaspidinae,Scraptiidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Geoffroy, 1785","Sortplettet spidshale",Spidshaler,
"Anaspis marginicollis",Anaspis,Anaspidini,Anaspidinae,Scraptiidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Lindberg, 1925",,Spidshaler,schilskyana
"Anaspis melanostoma",Anaspis,Anaspidini,Anaspidinae,Scraptiidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"Costa, 1854",,Spidshaler,
"Anaspis regimbarti",Anaspis,Anaspidini,Anaspidinae,Scraptiidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Schilsky, 1895",,Spidshaler,
"Anaspis ruficollis",Anaspis,Anaspidini,Anaspidinae,Scraptiidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Fabricius, 1792)",,Spidshaler,
"Anaspis rufilabris",Anaspis,Anaspidini,Anaspidinae,Scraptiidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Gyllenhal, 1827)","Rødmundet spidshale",Spidshaler,
"Anaspis thoracica",Anaspis,Anaspidini,Anaspidinae,Scraptiidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)",,Spidshaler,marginicollis
"Anastrangalia reyi",Anastrangalia,,,Cerambycidae,Chrysomeloidea,Coleoptera,"22 arter af træbukke (Cerambycidae Latreille, 1802) fundet i træ, indført til Danmark fra Letland og Frankrig, til energiformål. Entomologiske Meddelelser 81: 27-36",,Nej,"(Heyden, 1889)",,Træbukke,
"Anastrangalia sanguinolenta",Anastrangalia,Lepturini,Lepturinae,Cerambycidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1760)","Blodrød blomsterbuk",Træbukke,
"Anatis ocellata",Anatis,Coccinellini,Coccinellinae,Coccinellidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)","Øjeplettet mariehøne",Mariehøns,
"Anaulacaspis nigra",Anaulacaspis,Falagriini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Anchomenus dorsalis",Anchomenus,Platynini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Pontoppidan, 1763)","Spraglet kvikløber",Løbebiller,
"Ancistronycha violacea",Ancistronycha,Cantharini,Cantharinae,Cantharidae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Paykull, 1798)",,Blødvinger,cyanipennis
"Aneurota sulcifrons",Aneurota,,,Uafklaret,,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,,,,
"Anidorus nigrinus",Anidorus,Euglenesini,,Aderidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Germar, 1842)",,,
"Anisodactylus binotatus",Anisodactylus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1787)","Almindelig bredløber",Løbebiller,
"Anisodactylus nemorivagus",Anisodactylus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NE,Ja,"(Duftschmid, 1812)","Rødbenet bredløber",Løbebiller,
"Anisodactylus poeciloides",Anisodactylus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",RE,Ja,"(Stephens, 1828)","Metalgrøn bredløber",Løbebiller,
"Anisodactylus signatus",Anisodactylus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NA,Ja,"(Panzer, 1797)","Sortbenet bredløber",Løbebiller,
"Anisosticta novemdecimpunctata",Anisosticta,Tytthaspidini,Coccinellinae,Coccinellidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)","19-plettet mariehøne",Mariehøns,
"Anisotoma axillaris",Anisotoma,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Gyllenhal, 1810",,,
"Anisotoma castanea",Anisotoma,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Herbst, 1792)",,,
"Anisotoma glabra",Anisotoma,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1787)",,,
"Anisotoma humeralis",Anisotoma,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1792)",,,
"Anisotoma orbicularis",Anisotoma,Agathidiini,Leiodinae,Leiodidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Herbst, 1792)",,,
"Anisoxya fuscula",Anisoxya,Dircaeini,Melandryinae,Melandryidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Illiger, 1798)",,Svampespringere,
"Anitys rubens",Anitys,Dorcatomini,Dorcatominae,Ptinidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Hoffmann, 1803)",,Borebiller,
"Anobium canaliculatus",Anobium,Anobiini,Anobiinae,Ptinidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Thomson, 1863)",,Borebiller,nitidum
"Anobium punctatum",Anobium,Anobiini,Anobiinae,Ptinidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(DeGeer, 1774)","Almindelig borebille",Borebiller,
"Anomala dubia",Anomala,Anomalini,Rutelinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Scopoli, 1763)",Klitoldenborre,Torbister,
"Anommatus diecki",Anommatus,,Anommatinae,Bothrideridae,Cucujoidea,Coleoptera,"Fund af biller i Danmark, 1996 (Coleoptera). Entomologiske Meddelelser 65: 119-148",,Ja,"Reitter, 1875",,,
"Anommatus duodecimstriatus",Anommatus,,Anommatinae,Bothrideridae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Müller, 1821)","Blind løgbille",,
"Anomognathus cuspidatus",Anomognathus,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Erichson, 1839)",,Rovbiller,
"Anoplodera reyi",Anoplodera,,,Cerambycidae,Chrysomeloidea,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,,,Træbukke,
"Anoplodera sexguttata",Anoplodera,Lepturini,Lepturinae,Cerambycidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NT,Ja,"(Fabricius, 1775)","Seksplettet blomsterbuk",Træbukke,
"Anoplophora chinensis",Anoplophora,,,Cerambycidae,Chrysomeloidea,Coleoptera,http://www.nobanis.org,,Nej,"(Forster, 1771)","Asiatisk citrustræbuk",Træbukke,
"Anoplophora glabripennis",Anoplophora,,,Cerambycidae,Chrysomeloidea,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,"(Motschulsky, 1854)","Asiatisk træbuk",Træbukke,
"Anoplotrupes stercorosus",Anoplotrupes,Geotrupini,Geotrupinae,Geotrupidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Scriba, 1791)",Skovskarnbasse,Torbister,
"Anoplus plantaris",Anoplus,Anoplini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Naezen, 1794)",,Snudebiller,
"Anoplus roboris",Anoplus,Anoplini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Suffrian, 1840",,Snudebiller,
"Anostirus castaneus",Anostirus,Ctenicerini,Denticollinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Brungul kamsmælder",Smeldere,
"Anostirus purpureus",Anostirus,Ctenicerini,Denticollinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",RE,Ja,"(Poda, 1761)",,Smeldere,
"Anotylus clypeonitens",Anotylus,Oxytelini,Oxytelinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Pandellé, 1867)",,Rovbiller,
"Anotylus complanatus",Anotylus,Oxytelini,Oxytelinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Erichson, 1839)",,Rovbiller,
"Anotylus fairmairei",Anotylus,Oxytelini,Oxytelinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Pandellé, 1867)",,Rovbiller,
"Anotylus insecatus",Anotylus,Oxytelini,Oxytelinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1806)",,Rovbiller,
"Anotylus inustus",Anotylus,Oxytelini,Oxytelinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1806)",,Rovbiller,
"Anotylus maritimus",Anotylus,Oxytelini,Oxytelinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Thomson, 1861",,Rovbiller,perrisi
"Anotylus mutator",Anotylus,Oxytelini,Oxytelinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Lohse, 1963)",,Rovbiller,
"Anotylus nitidulus",Anotylus,Oxytelini,Oxytelinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Anotylus rugifrons",Anotylus,Oxytelini,Oxytelinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Hochhuth, 1849)",,Rovbiller,
"Anotylus rugosus",Anotylus,Oxytelini,Oxytelinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1775)",,Rovbiller,
"Anotylus saulcyi",Anotylus,Oxytelini,Oxytelinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Pandellé, 1867)",,Rovbiller,
"Anotylus sculpturatus",Anotylus,Oxytelini,Oxytelinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1806)",,Rovbiller,
"Anotylus tetracarinatus",Anotylus,Oxytelini,Oxytelinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Block, 1799)",,Rovbiller,
"Anthaxia quadripunctata",Anthaxia,Anthaxiini,Buprestinae,Buprestidae,Buprestoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NT•,Ja,"(Linnaeus, 1758)","Firepunktet pragtbille",Pragtbiller,
"Antherophagus pallens",Antherophagus,Cryptophagini,Cryptophaginae,Cryptophagidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)",,,
"Antherophagus silaceus",Antherophagus,Cryptophagini,Cryptophaginae,Cryptophagidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Herbst, 1792)",,,
"Antherophagus similis",Antherophagus,Cryptophagini,Cryptophaginae,Cryptophagidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Curtis, 1835",,,pallens
"Anthicus antherinus",Anthicus,Anthicini,Anthicinae,Anthicidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1760)","Broget sandpiler",Sandpilere,
"Anthicus ater",Anthicus,Anthicini,Anthicinae,Anthicidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Thunberg, 1787)","Sort sandpiler",Sandpilere,
"Anthicus bimaculatus",Anthicus,Anthicini,Anthicinae,Anthicidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Illiger, 1801)","Bleggul sandpiler",Sandpilere,
"Anthicus flavipes",Anthicus,Anthicini,Anthicinae,Anthicidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Panzer, 1796)","Lille sandpiler",Sandpilere,
