"Art (Niveau 1)","Slægt (Niveau 2)","Tribus (Niveau 3)","Underfamilie (Niveau 4)","Familie (Niveau 5)","Overfamilie (Niveau 6)","Orden (Niveau 7)",Referencetekst,Den_danske_roedliste,Dansk,Autor,Dansk_navn,Familie_dk,Synonymer
"Phaedon armoraciae",Phaedon,Chrysomelini,Chrysomelinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)",,Bladbiller,
"Phaedon cochleariae",Phaedon,Chrysomelini,Chrysomelinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1792)",Sennepsbladbille,Bladbiller,
"Phaedon concinnus",Phaedon,Chrysomelini,Chrysomelinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Stephens, 1834)",,Bladbiller,
"Phaenops cyaneus",Phaenops,Melanophilini,Buprestinae,Buprestidae,Buprestoidea,Coleoptera,"Fund af biller i Danmark, 2008 og 2009 (Coleoptera). Entomologiske Meddelelser 78: 117-161",,Ja,"(Fabricius, 1775)",,Pragtbiller,
"Phalacrus caricis",Phalacrus,Phalacrini,Phalacrinae,Phalacridae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Sturm, 1807",,Glatbiller,
"Phalacrus corruscus",Phalacrus,Phalacrini,Phalacrinae,Phalacridae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Panzer, 1797)",,Glatbiller,fimetarius
"Phalacrus dieckmanni",Phalacrus,Phalacrini,Phalacrinae,Phalacridae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Vogt, 1967",,Glatbiller,grossus
"Phalacrus fimetarius",Phalacrus,Phalacrini,Phalacrinae,Phalacridae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1775)",,Glatbiller,brisouti
"Phalacrus substriatus",Phalacrus,Phalacrini,Phalacrinae,Phalacridae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Gyllenhal, 1813",,Glatbiller,
"Phaleria cadaverina",Phaleria,Phaleriini,Diaperinae,Tenebrionidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1792)",Strandskyggebille,Skyggebiller,
"Pheletes aeneoniger",Pheletes,Denticollini,Denticollinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",RE,Ja,"(DeGeer, 1774)",,Smeldere,
"Philonthus addendus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Sharp, 1867",,Rovbiller,
"Philonthus albipes",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Philonthus alpinus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Eppelsheim, 1875",,Rovbiller,
