Lokalitet,Distrikt,YKoord,XKoord,GI,Genstand
Nagelsti,LFM,6070416,683227,1,10
Nagelsti Skovgård,LFM,6072763,682387,1,90
Nagstrup,WJ,6244337,470318,1,40
Najbjerg,WJ,6226743,481578,1,40
Nakke,NWZ,6201104,670710,1,30
Nakke,F,6134166,557497,1,30
Nakke Hage,NWZ,6200145,671574,1,580
Nakke Lyng,NWZ,6203161,669722,1,50
Nakkebølle,F,6104902,586529,1,60
Nakkebølle Fjord,F,6101089,587936,6,680
Nakkegård,SZ,6128936,691004,1,90
Nakkehoved,NEZ,6224671,707700,1,580
Nakkehuse,LFM,6077690,626379,1,30
Nakken,NEJ,6291694,511539,1,570
Nakkenshuse,F,6097546,585308,1,30
Nakkeodde,F,6097679,585539,1,560
Nakskov,LFM,6078595,637565,1,10
Nakskov Fjord,LFM,6079214,630962,6,680
Nakskov Ladegård,LFM,6081145,634430,1,60
Naldal Mark,EJ,6202231,543812,1,40
Naldmadebro,SJ,6085278,537508,1,30
Naldmose,SJ,6094604,562374,1,40
Naldtang,SJ,6098864,538766,1,40
Nandrup,NWJ,6303642,486053,1,60
Nannerup,NWJ,6282000,499150,1,30
Nappedam,EJ,6238134,592602,1,30
Napstjært,NEJ,6381549,583997,1,40
Napstjært Mose,NEJ,6380872,582927,1,390
Nautrup,NWJ,6288954,494421,1,30
Naveren,EJ,6251789,619945,6,700
Navndrup,NEJ,6271746,532786,1,40
Navnsø,NEJ,6304457,527385,1,400
Navntoft,EJ,6262219,524952,1,40
Navr,WJ,6248075,470361,1,30
Navr Kirke,WJ,6249347,470480,1,70
Navstok Huse,NWZ,6168138,657115,1,30
Navtrup,NWJ,6254368,494191,1,40
Navtrupgård,SJ,6123497,538063,1,90
Nebbegård,EJ,6164189,545061,1,60
Nebbelunde,LFM,6065337,653804,1,30
Nebberne,LFM,6093943,650803,1,580
Nebel,WJ,6182649,454568,1,40
Nebel Mærsk,WJ,6184507,453775,1,380
Nebel Sønderbæk,WJ,6166957,501081,4,420
Nebel v. Hornsyld,EJ,6182681,557572,3,30
Nebel v. Horsens,EJ,6194079,555881,3,30
Nebel v. Silkeborg,EJ,6229547,539596,3,40
Neble Lyng,SZ,6133075,643491,1,40
Neble p. Falster,LFM,6086727,683682,3,30
Neble p. Møn,LFM,6095292,707832,3,30
Neble Torp,SZ,6109805,684846,1,40
Neble v. Korsør,SZ,6131551,643741,3,20
Neble v. Mern,SZ,6106822,696797,3,40
Neble v. Sværdborg,SZ,6108607,685282,3,30
Nebsager,EJ,6179318,554253,1,20
Nebsagerskov,EJ,6178690,556365,1,40
Nebstrup,EJ,6280229,569767,1,30
Nebølle Nakke,LFM,6082392,676963,1,580
Nedenskov,EJ,6206905,542428,1,40
Neder Bjerre,EJ,6183204,554682,1,30
Neder Bjerregrav,EJ,6262468,555796,1,40
Neder Donnerup,WJ,6191007,517112,1,40
Neder Dråby,NEZ,6194051,687993,1,20
Neder Feldborg,WJ,6245918,498299,1,40
Neder Fidde,WJ,6174682,455232,1,40
Neder Fløjstrup,EJ,6212611,577494,1,30
Neder Geestrup,SJ,6112496,505734,1,30
Neder Ginderup,NWJ,6279966,490815,1,30
Neder Hadsten,EJ,6242618,564004,1,20
Neder Hjerk,NWJ,6283227,494227,1,30
Neder Holbæk,NEJ,6346410,585892,1,40
Neder Holluf,F,6136415,592012,1,10
Neder Hvam,EJ,6242616,520973,1,10
Neder Hvolris,NEJ,6270466,532524,1,40
Neder Jeksen,EJ,6216769,560525,1,30
Neder Jernhyt,SJ,6121188,520792,1,30
Neder Jerstal,SJ,6115532,516183,1,30
Neder Jestrup,SJ,6088594,561445,1,30
Neder Julianehede,WJ,6225275,518981,1,40
Neder Kestrup,SJ,6116009,530691,1,40
Neder Kokholm,EJ,6259315,530498,1,40
Neder Lert,SJ,6132384,517445,1,30
Neder Lysabild,SJ,6083541,565987,1,30
Neder Randlev,EJ,6202139,574221,1,30
Neder Randrup,EJ,6271089,559192,1,80
Neder Romalt,EJ,6257033,568027,1,30
Neder Sillesthoved,WJ,6185253,513908,1,40
Neder Simmelkær,WJ,6236939,498641,1,40
Neder Skringstrup,NEJ,6271652,526231,1,40
Neder Slebsager,WJ,6157541,482469,1,40
Neder Slemming,EJ,6255370,609608,1,40
Neder Sønderby,EJ,6182412,563190,1,30
Neder Tandslet,SJ,6086912,563442,1,20
Neder Telling,NWJ,6257766,481185,1,90
Neder Thyregodlund,WJ,6197169,517174,1,40
Neder Torup,WJ,6242110,449728,1,30
Neder Uhre,WJ,6238479,510141,1,40
Neder Ustrup,EJ,6185304,553962,1,30
Neder Vejlgårde,NWJ,6266637,495375,1,40
Neder Vindinge,SZ,6102944,683934,1,10
Neder Vrigsted,EJ,6175666,552861,1,30
Neder Vrønding,EJ,6192844,544283,1,30
Neder Åstrup,EJ,6200285,539071,1,40
Neder Åstrup,SJ,6123892,534181,1,20
Nederballe v. Hørning,EJ,6217320,565853,3,30
Nederballe v. Tranbjerg,EJ,6216472,568913,3,30
Nederby,SJ,6083750,536425,1,20
Nederby,NWJ,6297041,501553,1,10
Nederby,F,6122721,601522,1,30
Nederbyvænget,SJ,6123890,533502,1,20
Nedergård,NEJ,6297943,535273,1,90
Nedergård,F,6102741,622074,1,60
Nedergård Skov,EJ,6200388,524030,1,350
Nedergårde v. Foulum,EJ,6261646,534543,3,30
Nedergårde v. Virring,EJ,6209896,564380,3,30
Nederhede,EJ,6266912,523527,1,40
Nederkarls,EJ,6281278,555239,1,40
Nederland,SZ,6131950,674135,1,30
Nedermark,F,6137418,564887,1,40
Nedermarken,SZ,6105150,696856,1,40
Nederrøg,WJ,6198106,466500,1,380
Nederskov,NEZ,6164362,672261,1,350
Nederskov v. Bryrup,EJ,6211734,535752,3,350
Nederskov v. Gjerrild,EJ,6261914,613358,3,350
Nederskov v. Glud,EJ,6184993,566025,3,350
Nederskov v. Mejlgård,EJ,6265371,601966,3,350
Nederste Kobbel,NEZ,6216175,707420,1,350
Nedersø,EJ,6198739,520875,1,400
Nedersø,SJ,6135498,513852,1,400
Nedre Budde,NEJ,6364613,582288,1,90
Nedre Hillerslev,F,6118049,584720,1,40
Nees,WJ,6250472,451416,1,30
Nees,NWJ,6288273,470539,1,40
Nees Hede,WJ,6248946,455178,1,40
Nees Sund,NWJ,6288439,469244,6,660
Nees Vig,NWJ,6289253,471810,1,270
Nees Øre,NWJ,6286913,469756,1,570
Neest,NEJ,6351366,543801,1,40
Nejede,NEZ,6206270,699567,1,30
Nejede Vesterskov,NEZ,6207704,700312,1,350
Nejlinge,NEZ,6214001,700786,1,30
Nejrup,NWJ,6269943,449988,1,30
Nejst Mark,NEJ,6342033,556766,1,40
Nejst Plantage,NEJ,6382182,557078,1,350
Nejst v. Tylstrup,NEJ,6342183,558468,3,90
Nejst v. Uggerby Å,NEJ,6382777,557418,3,20
Nejsum Hede,NEJ,6353053,574290,1,40
Nekselø,NWZ,6184260,643729,4,610
Nekselø Bugt,NWZ,6185074,646151,6,670
Neksø,B,6119342,891222,1,10
Neksøvang,B,6120194,890483,1,40
Nellerød,NEZ,6213446,702543,1,30
Neverkær,F,6139355,568429,1,270
Nevermose,EJ,6248768,569658,1,40
Nevre,F,6081803,591086,1,40
Nibe,NEJ,6315813,539174,1,10
Nibe Bredning,NEJ,6317814,537245,6,670
Nibe Møllerne,NEJ,6319300,540950,1,120
Nibstrup,NEJ,6347204,559738,1,60
Niels Bugges Hald,EJ,6249624,521109,1,320
Nielshave,LFM,6086524,643231,1,30
Nielsminde v. Børglum,NEJ,6361563,551186,3,80
Nielsminde v. Lindholm Å,NEJ,6333638,555679,3,90
Nielsminde v. Ryå,NEJ,6346966,546791,3,90
Nielstrup,LFM,6086566,633682,2,90
Nielstrup,SZ,6130612,690822,1,30
Nielstrup,F,6104735,597297,1,60
Nielstrup,NEJ,6374078,587173,1,30
Nielstrup = Nielstrup Herregård,LFM,6076772,665162,8,60
Nielstrup Mark,EJ,6245394,570881,1,40
Nielstrup Skov,EJ,6257928,591198,1,350
Nielstrup v. Vivild,EJ,6259129,590221,3,30
Nielstrup v. Voldum,EJ,6247406,570613,3,30
Nikkelborg,NWJ,6263432,497744,1,40
Niløse,NWZ,6159917,657547,1,30
Niløse Holme,NWZ,6161068,656553,1,40
Nim,EJ,6198352,543032,1,10
Nim Mark,EJ,6196626,542525,1,40
Nim Skov,EJ,6198730,544395,1,350
Nimdrup,EJ,6206051,535126,1,40
Nimtofte,EJ,6253043,596878,1,10
Nimtofte Å,EJ,6253420,596666,4,420
Nipgård,EJ,6241518,521444,1,40
Nipgård Sø,EJ,6240788,521676,1,400
Nipså,SJ,6112555,515200,4,420
Nislev,F,6152485,587535,1,20
Nissemose Huse,LFM,6080162,649519,1,30
Nisseringen,SZ,6123800,684200,1,260
Nisset,EJ,6231441,535038,1,30
Nisset Indelukke,EJ,6231432,536730,1,40
Nisset Sønderhede,EJ,6230013,535844,1,40
Nissum,NWJ,6291687,497729,1,40
Nissum Bjerge,NWJ,6289991,498569,1,40
Nissum Bredning,NWJ,6277736,460179,6,680
Nissum Fjord,WJ,6247321,449978,6,680
Nissum Seminarieby,NWJ,6267353,464290,1,10
Nissumby,NWJ,6268277,462973,1,10
Nissumgård,EJ,6206435,561447,1,60
Nisted,F,6143917,588385,1,30
Nittens Høje 82m,NEJ,6357585,583092,5,300
Nittrup,NWJ,6276209,493434,1,30
Niverød,NEZ,6204895,718297,1,10
Nivå,NEZ,6204439,719186,2,10
Nivå = Nivå Å,NEZ,6204320,716385,8,420
Nivå Bugt,NEZ,6203442,721762,6,670
Nivågård,NEZ,6203906,719449,1,60
Njær Mark,EJ,6239142,553262,1,40
No,WJ,6218962,457602,1,10
No Plantage,WJ,6216651,457507,1,350
Nobjerg Mark,WJ,6217299,457048,1,40
Nold,NWJ,6258288,487323,1,40
Nolde,SJ,6086200,502955,1,30
Nolde Mark,SJ,6086583,501595,1,30
Nollund,WJ,6182889,491882,1,30
Non Mølle,EJ,6250742,522961,1,30
Nonbo,EJ,6251306,522712,1,40
Nonnebo,F,6137123,599268,1,30
Nonneholt,EJ,6276538,559266,1,350
Nordbjerg 39m,EJ,6288891,654287,5,540
Nordborg,SJ,6101620,547534,1,10
Nordborg Fyr,SJ,6103928,545484,1,250
Nordborg Slot,SJ,6101826,547889,1,190
Nordborg Sø,SJ,6101654,548767,1,400
Nordby,EJ,6203412,597002,1,10
Nordby,WJ,6144730,462178,1,10
Nordby,NEJ,6399532,595002,1,20
Nordby,NWZ,6196573,633689,1,40
Nordby,F,6124021,561599,1,30
Nordby Bugt,EJ,6202210,600581,6,670
Nordby Hede,EJ,6199419,599687,1,350
Nordby Kirke,EJ,6201968,596642,1,70
Nordby Plantage,WJ,6192082,498437,1,350
Nordbygård,LFM,6101472,711296,1,90
Nordbæk,WJ,6164354,512882,1,40
Nordbæk Plantage,WJ,6165017,512793,1,350
Norden,F,6108770,581640,1,40
Nordenbro,F,6072409,610164,1,30
Nordenbro Vesteregn,F,6071590,608094,1,30
Nordenbrogård,F,6072051,611690,1,80
Nordenhuse,F,6137947,612396,1,30
Nordenskov,WJ,6167493,480297,1,10
Nordenå,WJ,6190144,461529,1,40
Nordfelt,LFM,6102509,717134,1,60
Nordgård,SZ,6147093,680687,1,90
Nordgård Huse,SZ,6146463,681264,1,30
Nordgårde,NWZ,6178677,653642,1,30
Nordgården,SZ,6147605,689227,1,90
Nordholm,NWZ,6150941,632152,1,610
Nordhuse,NEZ,6209176,692198,1,30
Nordhøjgård,SJ,6136331,521427,1,90
Nordjyllandsværket,NEJ,6326200,563300,1,120
Nordkanal,LFM,6067137,647598,4,420
Nordkanal,EJ,6252420,606395,4,340
Nordkanal,NWZ,6185553,659964,4,430
Nordkrog,NEZ,6214032,694986,1,40
Nordkrog,NWZ,6166264,641483,1,30
Nordkær v. Grindsted,NEJ,6336173,563812,3,40
Nordkær v. Nørre Halne,NEJ,6335999,553250,3,90
Nordlige Lillegrund,F,6118204,552020,6,700
Nordmanden,LFM,6067752,685236,1,440
Nordmands Hage,SZ,6118992,700347,6,700
Nordmandshage,NEJ,6316056,581805,6,700
Nordmandshede,EJ,6269505,530324,1,40
Nordmark,NEZ,6184934,694583,1,20
Nordmarken,NEZ,6157664,694392,1,40
Nordmarken,NEJ,6354728,625485,1,370
Nordost,NEJ,6342897,591359,1,40
Nordre Feldborg Plantage,WJ,6247073,496122,1,350
Nordre Klapper,NEZ,6169761,723527,1,270
Nordre Knigge,SZ,6101381,703266,6,700
Nordre Løb,LFM,6101522,706318,6,650
Nordre Løb,NWZ,6186654,656147,4,420
Nordre Mosegrøft,WJ,6180329,505321,4,420
Nordre Purker,NEJ,6300039,555587,1,350
Nordre Rønner,NEJ,6359172,615466,1,610
Nordre Røse,NEZ,6171907,732144,6,700
Nordrup,SZ,6144272,682889,1,30
Nordrup,NWZ,6151210,652955,1,30
Nordrup Tørvemose,SZ,6143889,681716,1,30
Nordruplund,NWZ,6152309,654152,1,60
Nordruplund Skov,NWZ,6153260,655256,1,350
Nordskov,LFM,6083867,677289,1,350
Nordskov,F,6162596,602554,2,30
Nordskov,NWZ,6153945,654505,1,40
Nordskov = Nordskov Herregård,F,6124316,590896,8,60
Nordskoven,B,6128038,890696,1,350
Nordskoven,EJ,6224289,537079,1,350
Nordskoven,NEJ,6315535,577204,1,40
Nordskoven = Jægerspris Nordskov,NEZ,6200116,685951,8,350
Nordstrand,F,6114313,624272,1,40
Nordstrand,NEJ,6402300,596500,1,600
Nordstrand Skanse,NEJ,6368810,592780,1,320
Nordsøakvariet,NWJ,6313200,461600,1,170
Nordsøcentret,NEJ,6383300,558700,1,170
Nordtorpe Skov,F,6115971,599602,1,350
Nordvestrev,EJ,6292242,650964,6,700
Nordvestrev,F,6168276,573164,6,700
Nordvestrev,NWZ,6199345,629388,6,700
Nordvestrevet,NWZ,6232286,666339,6,700
Noret,SJ,6115202,540320,6,640
Noret,SZ,6127203,645883,6,640
Noret,SZ,6113630,698976,6,640
Noret,NWJ,6272191,448897,1,400
Noret,F,6122066,557312,6,640
Noret p. Fejø,LFM,6077552,641660,3,380
Noret p. Svinø,SZ,6110085,678126,3,270
Noret v. Bøjden,F,6106922,569491,3,400
Noret v. Knolden,F,6096319,579498,3,380
Noret v. Løgismose,F,6128153,570420,3,380
Noret v. Majbølle,LFM,6079560,677120,3,270
Noret v. Skælskør,SZ,6123518,643820,3,30
Noret v. Stubbekøbing,LFM,6086026,698573,3,270
Norge,EJ,6263173,549768,1,40
Normsted,SJ,6117326,485346,1,40
Norre,LFM,6067824,654888,1,30
Norre Skovhuse,LFM,6068482,655937,1,40
Norregård,LFM,6067379,655633,1,90
Norring,EJ,6234281,564693,1,30
Norring Vandmølle,EJ,6234365,563733,1,90
Norring Vesterskov,EJ,6236319,563580,1,350
Norringure,EJ,6235976,564673,1,350
Nors,NWJ,6319987,480197,1,10
Nors Havreland,NWJ,6318116,479558,1,40
Nors Sø,NWJ,6321510,476544,1,400
Nors Å,NWJ,6322421,472681,4,420
Norslund,EJ,6208962,576802,1,90
Norsminde,EJ,6209812,578599,1,30
Norsminde Fjord,EJ,6208775,577290,6,640
Norsminde Flak,EJ,6211419,582362,6,700
Norså,NEJ,6380186,579945,4,420
Nortved,SZ,6133800,658360,1,40
Nortvig,EJ,6198726,527407,1,40
Norup,F,6156381,587884,1,30
Norup Søndermark,EJ,6281200,568807,1,40
Norup v. Assens,EJ,6281951,568199,3,10
Norup v. Vammen,EJ,6266277,533892,3,40
Norup Østermark,EJ,6282670,569051,1,40
Norupgårde,NWJ,6287212,492417,1,30
Nostrup,NWZ,6176681,626711,1,30
Nostrup Huse,NWZ,6175971,627006,1,30
Nostrup Sandlodder,NWZ,6175953,626592,1,30
Notmark,SJ,6093072,560052,1,30
Novrup,WJ,6148022,470112,1,30
Nulbjerg 70m,SJ,6110304,507660,5,540
Nustrup,SJ,6125312,511434,1,10
Nustrup Hede,SJ,6126663,509022,1,40
Nustrup Nørremark,SJ,6126347,512069,1,40
Nustrup Plantage,SJ,6127059,508164,1,350
Nustrup Skov,SJ,6124533,512736,1,350
Ny Allested,F,6125583,584134,1,30
Ny Balle,EJ,6242271,611257,1,30
Ny Bjergby,NWZ,6174142,657257,1,30
Ny Bjerreby,F,6092840,604705,1,40
Ny Borre,LFM,6099361,721086,1,20
Ny Dyreborg,F,6103379,577343,1,20
Ny Dyrehave,F,6118712,608076,1,350
Ny Egå,EJ,6230562,577000,4,420
Ny Esbjerg,SZ,6111725,693246,1,30
Ny Frederikskog,SJ,6087952,480233,1,270
Ny Fredskov,LFM,6073119,652942,1,350
Ny Fårevejle,NWZ,6186798,653307,1,30
Ny Gesinge,F,6094934,598542,1,40
Ny Hagested,NWZ,6179089,662946,1,30
Ny Hammelmose,NEJ,6346881,548348,1,80
Ny Hammersholt,NEZ,6200809,708368,1,10
Ny Harløse,NEZ,6202714,701341,1,30
Ny Hjortkær,WJ,6155618,481286,1,30
Ny Holmstrup,NWZ,6143675,647862,1,30
Ny Holsted,SZ,6125697,675975,1,20
Ny Horserød,NEZ,6217086,719072,1,30
Ny Højen,EJ,6168035,531695,1,10
Ny Høstemark,NEJ,6311781,574066,1,80
Ny Jystrup,NEZ,6157530,681909,1,30
Ny Kirke,B,6125702,867627,1,70
Ny Kirstineberg,LFM,6075382,683414,1,60
Ny Kirstineberg Storskov,LFM,6077231,681999,1,350
Ny Kløv,NWJ,6319624,488879,1,40
Ny Kolstrup,EJ,6256462,596039,1,40
Ny Lellingegård,NEZ,6150670,694755,1,80
Ny Lifstrup,WJ,6159248,471284,1,40
Ny Nyby,F,6099731,603148,1,30
Ny Nørup,WJ,6173373,519592,1,10
Ny Pøl,SJ,6084149,566879,1,30
Ny Ryomgård,EJ,6250863,594121,1,80
Ny Rønnebjerg,NEJ,6358142,564761,1,30
Ny Sebberup,EJ,6183385,546199,1,30
Ny Skelhuse,F,6135905,574287,1,30
Ny Skovbøl,SJ,6097199,534535,1,30
Ny Skovsgård,NEJ,6328440,529922,1,30
Ny Skrøbelev,F,6087897,612249,1,30
Ny Stavnsbøl,SJ,6089521,554468,1,30
Ny Stenderup,F,6114779,580172,1,30
Ny Søby,F,6094063,598854,1,40
Ny Toftegård,NEJ,6343175,545584,1,80
Ny Tolk,LFM,6084746,705891,6,700
Ny Tolstrup,NEZ,6160303,683937,1,30
Ny Tågerup,NWZ,6160026,653466,1,30
Ny Vemmenæs,F,6095129,607501,1,30
Ny Viffertsholm,NEJ,6295452,567614,1,80
Ny Vrå,NEJ,6337937,556577,1,80
Ny Æbelnæs,LFM,6093664,706895,1,30
Ny Ørum,EJ,6176150,548050,1,90
Nybjerg Mølle,WJ,6165126,516374,1,230
Nybo,SJ,6101622,493184,1,30
Nybo Bæk,WJ,6225306,501428,4,420
Nybo v. Glamsbjerg,F,6111642,586816,3,40
Nybo v. Holstebro,WJ,6243156,478060,3,40
Nybo v. Korinth,F,6108981,588113,3,30
Nybo v. Skibbild,WJ,6226315,490443,3,40
Nyboder,SZ,6123418,660291,1,30
Nybogård,NEZ,6208856,718270,1,90
Nyborg,EJ,6185653,533176,1,40
Nyborg,F,6131148,613850,1,10
Nyborg,NEJ,6350079,580511,1,40
Nyborg Fjord,F,6129155,614772,6,680
Nyborg Huse,WJ,6225960,488748,1,30
Nybro,LFM,6069506,680806,1,210
Nybro,SZ,6121154,669910,1,210
Nybro,EJ,6256444,526005,1,210
Nybro,WJ,6233740,492569,1,30
Nybro,NEJ,6345248,588951,1,40
Nybro,NWZ,6149338,649900,1,40
Nybro Hede,NEJ,6346344,589068,1,40
Nyby,NEZ,6169688,672558,1,30
Nyby,LFM,6089900,695581,1,30
Nyby,B,6118037,878361,1,20
Nyby,NWJ,6276476,491716,1,30
Nyby,NWZ,6179902,622120,1,30
Nyby,F,6075920,606494,1,30
Nyby Mark,WJ,6154960,503072,1,40
Nyby v. Bække,WJ,6154491,503518,3,30
Nyby v. Karise,SZ,6133948,707072,3,40
Nyby v. Skibbild,WJ,6228720,492067,3,40
Nyby v. Turebyholm,SZ,6136020,696328,3,40
Nybygdgårde,F,6109440,584691,1,40
Nybæk,NEJ,6356900,542570,4,420
Nybæk Plantage,NEJ,6357191,543260,1,350
Nybøl Mark,SJ,6096724,522595,1,40
Nybøl Mølle,SJ,6088176,543020,1,240
Nybøl Nor,SJ,6086386,540980,6,640
Nybøl v. Dybbøl,SJ,6086594,543694,3,10
Nybøl v. Hjordkær,SJ,6097339,520453,3,30
Nybøl Vandmølle,SJ,6086841,542362,1,30
Nybølgård,SJ,6128256,499002,1,60
Nybølle,NEZ,6178631,705256,1,30
Nybølle,F,6119152,587748,1,30
Nybølle Hede,LFM,6091719,643169,1,40
Nybølle Lunder,LFM,6089344,643761,1,350
Nybølle Strand,LFM,6092600,644400,1,30
Nybølle v. Horslunde,LFM,6072790,646774,3,30
Nybølle v. Ålstrup,LFM,6089368,642494,3,30
Nybøllegård,F,6118879,587447,1,80
Nybøllegård p. Møn,LFM,6096631,708544,3,90
Nybøllegård v. Holeby,LFM,6066625,659751,3,60
Nydam,SJ,6090716,546824,1,40
Nydam v. Krengerup,F,6130794,569698,3,30
Nydam v. Odense,F,6137870,581852,3,30
Nyeng,WJ,6154707,453254,1,380
Nyeng,NEJ,6377398,566382,1,30
Nygård,NEZ,6217140,719838,1,30
Nygård,WJ,6220586,491808,1,90
Nygård,NWZ,6200962,664945,1,40
Nygård,NEJ,6321225,564325,1,90
Nygård p. Løjtland,SJ,6095666,521648,3,90
Nygård v. Haderslev,SJ,6125446,536438,3,80
Nygård v. Trustrup,EJ,6246882,607088,3,80
Nygård v. Øster Lindet,SJ,6130676,509321,3,80
Nygård v. Ågård,EJ,6183542,531746,3,90
Nygård Å,EJ,6247451,606290,4,420
Nygårde,NEZ,6198615,685223,1,30
Nygårde,WJ,6205922,518436,1,40
Nygårde,SZ,6134772,674497,1,30
Nygårde Skov,EJ,6217487,552284,1,350
Nygårde v. Dover Kirke,EJ,6216256,552514,3,40
Nygårde v. Tirstrup,EJ,6242392,607345,3,30
Nygårds Huse,LFM,6055810,688253,1,30
Nygårds Mark,NWJ,6287332,483075,1,40
Nygårds Mølle,NEJ,6371453,584327,1,90
Nygårdshuse,LFM,6069637,634869,1,40
Nygårdsvænge,SZ,6130303,685272,1,350
Nyhave,SZ,6142753,702840,1,350
Nyhave,F,6113393,611340,3,350
Nyhave Huse,EJ,6153445,546723,1,30
Nyhave v. Bogense,F,6143346,561285,3,30
Nyhave v. Rofsted,F,6133178,599177,3,30
Nyhegn,NEZ,6215276,707203,1,350
Nyholm,NWJ,6270930,492232,1,90
Nyhuse,NEZ,6203967,705443,1,20
Nyhuse,LFM,6083437,680230,1,30
Nyhuse v. Assens,F,6123260,557244,3,30
Nyhuse v. Giesegård,SZ,6143211,685443,3,40
Nyhuse v. Lidemark,SZ,6146816,691792,3,30
Nyhuse v. Wedellsborg,F,6136074,553476,3,30
Nyker,B,6125705,867153,1,10
Nyker Plantage,B,6126219,875171,1,350
Nykobbel,SZ,6141435,653577,1,350
Nykøbing Bugt,NWJ,6294063,491888,6,670
Nykøbing Bugt,NWZ,6197857,668492,6,670
Nykøbing F.,LFM,6072628,685092,1,10
Nykøbing Lyng,NWZ,6202961,667644,1,50
Nykøbing M.,NWJ,6294884,490975,1,10
Nykøbing S.,NWZ,6200974,666765,1,10
Nykøbing Strandhuse,LFM,6062025,690856,1,50
Nyland,WJ,6149665,454974,1,40
Nyland,F,6086479,594215,1,610
Nylandsmose,SZ,6116610,675166,1,380
Nylars,B,6118490,870941,1,10
Nyled,SJ,6095168,558457,1,30
Nyled Huse,NWZ,6202411,660623,1,40
Nylukke Skov,LFM,6091422,705472,1,350
Nylund,NWJ,6282597,479501,1,80
Nylykkegård,SZ,6114222,680722,1,90
Nyløkke,EJ,6223450,538232,1,40
Nyløkke Huse,F,6109439,584388,1,30
Nyløkke v. Storå,F,6151479,560438,3,30
Nyløkke v. Ørbæklunde,F,6106250,585266,3,30
Nymark,EJ,6212947,572825,1,40
Nymark,F,6148761,567567,1,40
Nymark Skov,SZ,6098851,697242,1,350
Nymark v. Biersted,NEJ,6335439,542013,3,40
Nymark v. Brovst,NEJ,6333405,550665,3,40
Nymark v. Børglum,NEJ,6355877,553480,3,40
Nymark v. Hallund,NEJ,6362280,556930,3,40
Nymark v. Hals,NEJ,6319815,579631,3,30
Nymarkshuse,SZ,6126830,694848,1,30
Nymarkshuse,F,6142299,601521,1,30
Nyminde Plantage,WJ,6184468,450363,1,350
Nyminde Strøm,WJ,6188178,448994,6,650
Nymindegab,WJ,6186090,449874,1,10
Nymølle,NEZ,6191986,706920,1,30
Nymølle,SJ,6093741,555441,1,30
Nymølle,NWJ,6281595,487291,1,30
Nymølle Bæk,NEJ,6352155,574815,4,420
Nyord,LFM,6104946,705110,4,610
Nyord,LFM,6104281,704252,2,30
Nyrup,NEZ,6211952,719049,1,30
Nyrup,SZ,6123595,658961,1,30
Nyrup,F,6131370,570415,1,30
Nyrup Bugt,NWZ,6206131,667631,6,670
Nyrup Hegn,NEZ,6213468,720219,1,350
Nyrup Mark,NEJ,6316889,543566,1,40
Nyrup Skov,NWZ,6165621,668342,1,350
Nyrup v. Brorfelde,NWZ,6152570,669287,3,30
Nyrup v. Højby,NWZ,6201816,662921,3,30
Nyrup v. Høng,NWZ,6158602,647145,3,10
Nyrup v. Kalundborg,NWZ,6175216,628436,3,30
Nyrup v. Nibe,NEJ,6318453,542609,3,30
Nyrup v. Stenlille,NWZ,6165014,667934,3,30
Nyrup v. Aars,NEJ,6292718,530183,3,40
Nyrupgård,NWZ,6158237,667634,1,90
Nyrupgård v. Gurre,NEZ,6212010,718789,3,80
Nyrupgård v. Kirke Sonnerup,NEZ,6169821,677056,3,90
Nyråd,SZ,6099662,689660,1,10
Nyråd-Stensved,SZ,6100301,690721,1,40
Nyskov,EJ,6141985,521398,1,40
Nyskov,SZ,6114018,684810,1,30
Nyskov,F,6140642,553882,1,350
Nyslund,WJ,6157879,487797,1,40
Nysogn Kirke,WJ,6220740,449002,1,70
Nystaden p. Kegnæs,SJ,6079724,559782,3,20
Nystaden v. Bylderup,SJ,6090123,508829,3,30
Nysted,LFM,6061055,676338,1,10
Nysted,EJ,6240151,546134,1,40
Nysted,WJ,6204315,463591,1,40
Nystedskov,LFM,6062349,678497,1,40
Nystrup Klitplantage,NWJ,6319086,469995,1,350
Nysum,NEJ,6290590,547524,1,30
Nysum Hede,NEJ,6289243,548557,1,40
Nysø,SZ,6113225,693337,1,60
Nyt Løb,LFM,6084012,702471,1,650
Nytofte,SZ,6141689,704060,1,90
Nytorp,NWJ,6329063,478326,1,30
Nyvang,NEZ,6175601,672724,1,30
Nyvang,LFM,6099094,712542,1,40
Nyvang,SJ,6113096,489278,1,30
Nyvang,NWZ,6163910,649671,1,30
Nyvang Huse,NEZ,6175508,673443,1,40
Nyvang v. Giesegård,SZ,6144393,687690,3,40
Nyvang v. Skælskør,SZ,6121858,645949,3,30
Nyvangsgårde,EJ,6157774,536749,1,40
Nyvænge,F,6110742,589257,1,350
Nyværn,WJ,6187862,452081,1,380
Næbbe Bugt,B,6122639,863426,6,670
Næbbe Revler,F,6086284,617436,6,700
Næbbehuse,F,6085958,616208,1,40
Næbbeskov,F,6084980,616000,1,350
Næbbesodde,F,6093270,587241,1,580
Næbbet,SZ,6118244,670690,1,580
Næbbet,F,6092224,578312,1,580
Næblerød,SZ,6136179,660094,1,30
Næbs Mølle,NEZ,6154633,680885,1,30
Næbskoven,SZ,6113310,696093,1,350
Nældebjerg 8m,NEZ,6165055,706802,5,540
Nældemose,F,6116669,568597,1,30
Nærum,NEZ,6191554,721594,1,10
Nærå Strand,F,6162026,581691,6,640
